date,forecasted_values
2023-05-18 07:00:00,23.60771067514986
2023-05-18 08:00:00,35.25662072862405
2023-05-18 09:00:00,47.07542848044901
2023-05-18 10:00:00,54.950245232868824
2023-05-18 11:00:00,57.55661716800809
2023-05-18 12:00:00,56.245422137922866
2023-05-18 13:00:00,52.74608091295435
2023-05-18 14:00:00,48.42110005780274
2023-05-18 15:00:00,44.61232274570751
2023-05-18 16:00:00,42.34049304311559
2023-05-18 17:00:00,41.372612132474735
2023-05-18 18:00:00,39.67536011105773
2023-05-18 19:00:00,34.612421460234614
2023-05-18 20:00:00,26.113222234804777
2023-05-18 21:00:00,17.455244798128174
2023-05-18 22:00:00,11.518467678947664
2023-05-18 23:00:00,8.59445083852788
2023-05-19 00:00:00,7.727191451502615
2023-05-19 01:00:00,7.927027772348965
2023-05-19 02:00:00,8.360428084471932
2023-05-19 03:00:00,8.642131869475914
2023-05-19 04:00:00,9.189525190743044
2023-05-19 05:00:00,11.011112596107658
2023-05-19 06:00:00,15.411343461902442
2023-05-19 07:00:00,23.60771067514981
2023-05-19 08:00:00,35.256620728624014
2023-05-19 09:00:00,47.07542848044906
2023-05-19 10:00:00,54.95024523286892
2023-05-19 11:00:00,57.55661716800809
2023-05-19 12:00:00,56.245422137922915
2023-05-19 13:00:00,52.746080912954255
2023-05-19 14:00:00,48.42110005780274
2023-05-19 15:00:00,44.61232274570751
2023-05-19 16:00:00,42.34049304311559
2023-05-19 17:00:00,41.37261213247481
2023-05-19 18:00:00,39.67536011105773
2023-05-19 19:00:00,34.61242146023465
2023-05-19 20:00:00,26.113222234804777
2023-05-19 21:00:00,17.455244798128174
2023-05-19 22:00:00,11.518467678947664
2023-05-19 23:00:00,8.59445083852788
2023-05-20 00:00:00,7.727191451502615
2023-05-20 01:00:00,7.927027772348955
2023-05-20 02:00:00,8.360428084471932
2023-05-20 03:00:00,8.642131869475904
2023-05-20 04:00:00,9.189525190743032
2023-05-20 05:00:00,11.011112596107646
2023-05-20 06:00:00,15.411343461902426
2023-05-20 07:00:00,23.607710675149786
2023-05-20 08:00:00,35.256620728624014
2023-05-20 09:00:00,47.07542848044906
2023-05-20 10:00:00,54.95024523286892
2023-05-20 11:00:00,57.556617168008195
2023-05-20 12:00:00,56.245422137922965
2023-05-20 13:00:00,52.74608091295435
2023-05-20 14:00:00,48.42110005780274
2023-05-20 15:00:00,44.61232274570751
2023-05-20 16:00:00,42.34049304311559
2023-05-20 17:00:00,41.37261213247481
2023-05-20 18:00:00,39.67536011105773
2023-05-20 19:00:00,34.61242146023465
2023-05-20 20:00:00,26.113222234804777
2023-05-20 21:00:00,17.45524479812819
2023-05-20 22:00:00,11.518467678947664
2023-05-20 23:00:00,8.59445083852788
2023-05-21 00:00:00,7.727191451502615
2023-05-21 01:00:00,7.927027772348955
2023-05-21 02:00:00,8.360428084471932
2023-05-21 03:00:00,8.642131869475904
2023-05-21 04:00:00,9.189525190743021
2023-05-21 05:00:00,11.011112596107633
2023-05-21 06:00:00,15.411343461902392
2023-05-21 07:00:00,23.60771067514976
2023-05-21 08:00:00,35.256620728624014
